StateAbbr,StateName,HexRow,HexCol,DN_2008,DE_2008,RN_2008,RE_2008,DN_2012,DE_2012,RN_2012,RE_2012,DN_2016,DE_2016,RN_2016,RE_2016,DN_2020,DE_2020,RN_2020,RE_2020
AL,Alabama,7,6,813479,0,1266546,9,795696,0,1255925,9,729547,0,1318255,9,849624,0,1441170,9
AK,Alaska,1,3,123594,0,193841,3,122640,0,164676,3,116454,0,163387,3,153778,0,189951,3
AZ,Arizona,7,2,1034707,0,1230111,10,1025232,0,1233654,11,1161167,0,1252401,11,1672143,11,1661686,0
AR,Arkansas,6,5,422310,0,638017,6,394409,0,647744,6,380494,0,684872,6,423932,0,760647,6
CA,California,6,1,8274473,55,5011781,0,7854285,55,4839958,0,8753788,55,4483810,0,11110250,55,6006429,0
CO,Colorado,5,3,1288633,9,1073629,0,1323101,9,1185243,0,1338870,9,1202484,0,1804352,9,1364607,0
CT,Connecticut,4,11,997772,7,629428,0,905083,7,634892,0,897572,7,673215,0,1080831,7,714717,0
DE,Delaware,5,10,255459,3,152374,0,242584,3,165484,0,235603,3,185127,0,296268,3,200603,0
DC,District of Columbia,6,9,245800,3,17367,0,267070,3,21381,0,282830,3,12723,0,317323,3,18586,0
FL,Florida,8,6,4282074,27,4045624,0,4237756,29,4163447,0,4504975,0,4617886,29,5297045,0,5668731,29
GA,Georgia,7,7,1844123,0,2048759,15,1773827,0,2078688,16,1877963,0,2089104,16,2473663,16,2461854,0
HI,Hawaii,8,-0.5,325871,4,120566,0,306658,4,121015,0,266891,4,128847,0,366130,4,196864,0
ID,Idaho,4,2,236440,0,403012,4,212787,0,420911,4,189765,0,409055,4,287021,0,554119,4
IL,Illinois,4,6,3419348,21,2031179,0,3019512,20,2135216,0,3090729,20,2146015,0,3471915,20,2446891,0
IN,Indiana,4,7,1374039,11,1345648,0,1152887,0,1420543,11,1033126,0,1557286,11,1242416,0,1729519,11
IA,Iowa,4,5,828940,7,682379,0,822544,6,730617,0,653669,0,800983,6,759061,0,897672,6
KS,Kansas,6,4,514765,0,699655,6,440726,0,692634,6,427005,0,671018,6,570323,0,771406,6
KY,Kentucky,5,6,751985,0,1048462,8,679370,0,1087190,8,628854,0,1202971,8,772474,0,1326646,8
LA,Louisiana,7,4,782989,0,1148275,9,809141,0,1152262,8,780154,0,1178638,8,856034,0,1255776,8
ME,Maine,1,13,421923,4,295273,0,401306,4,292276,0,357735,3,335593,1,435072,3,360737,1
MD,Maryland,5,9,1629467,10,959862,0,1677844,10,971869,0,1677928,10,943169,0,1985023,10,976414,0
MA,Massachusetts,3,11,1904097,12,1108854,0,1921290,11,1188314,0,1995196,11,1090893,0,2382202,11,1167202,0
MI,Michigan,3,8,2872579,17,2048639,0,2564569,16,2115256,0,2268839,0,2279543,16,2804040,16,2649852,0
MN,Minnesota,3,5,1573354,10,1275409,0,1546167,10,1320225,0,1367716,10,1322951,0,1717077,10,1484065,0
MS,Mississippi,7,5,554662,0,724597,6,562949,0,710746,6,485131,0,700714,6,539398,0,756764,6
MO,Missouri,5,5,1441911,0,1445814,11,1223796,0,1482440,10,1071068,0,1594511,10,1253014,0,1718736,10
MT,Montana,3,3,231667,0,242763,3,201839,0,267928,3,177709,0,279240,3,244786,0,343602,3
NE,Nebraska,5,4,333319,1,452979,4,302081,0,475064,5,284494,0,495961,5,374583,1,556846,4
NV,Nevada,5,2,533736,5,412827,0,531373,6,463567,0,539260,6,512058,0,703486,6,669890,0
NH,New Hampshire,2,12,384826,4,316534,0,369561,4,329918,0,348526,4,345790,0,424937,4,365660,0
NJ,New Jersey,4,10,2215422,15,1613207,0,2125101,14,1477568,0,2148278,14,1601933,0,2608335,14,1883274,0
NM,New Mexico,6,3,472422,5,346832,0,415335,5,335788,0,385234,5,319667,0,501614,5,401894,0
NY,New York,3,10,4804945,31,2752771,0,4485741,29,2490431,0,4556124,29,2819534,0,5230985,29,3244798,0
NC,North Carolina,6,7,2142651,15,2128474,0,2178391,0,2270395,15,2189316,0,2362631,15,2684292,0,2758775,15
ND,North Dakota,3,4,141278,0,168601,3,124827,0,188163,3,93758,0,216794,3,114902,0,235595,3
OH,Ohio,4,8,2940044,20,2677820,0,2827709,18,2661437,0,2394164,0,2841005,18,2679165,0,3154834,18
OK,Oklahoma,7,3,502496,0,960165,7,443547,0,891325,7,420375,0,949136,7,503890,0,1020280,7
OR,Oregon,5,1,1037291,7,738475,0,970488,7,754175,0,1002106,7,782403,0,1340383,7,958448,0
PA,Pennsylvania,4,9,3276363,21,2655885,0,2990274,20,2680434,0,2926441,0,2970733,20,3458229,20,3377674,0
RI,Rhode Island,3,12,296571,4,165391,0,279677,4,157204,0,252525,4,180543,0,307486,4,199922,0
SC,South Carolina,6,8,862499,0,1034896,8,865941,0,1071645,9,855373,0,1155389,9,1091541,0,1385103,9
SD,South Dakota,4,4,170924,0,203054,3,145039,0,210610,3,117458,0,227721,3,150471,0,261043,3
TN,Tennessee,6,6,1087437,0,1479178,11,960709,0,1462330,11,870695,0,1522925,11,1143711,0,1852475,11
TX,Texas,8,3,3528633,0,4479328,34,3308124,0,4569843,38,3877868,0,4685047,38,5259126,0,5890347,38
UT,Utah,6,2,327670,0,596030,5,251813,0,740600,6,310676,0,515231,6,560282,0,865140,6
VT,Vermont,2,11,219262,3,98974,0,199239,3,92698,0,178573,3,95369,0,242820,3,112704,0
VA,Virginia,5,8,1959532,13,1725005,0,1971820,13,1822522,0,1981473,13,1769443,0,2413568,13,1962430,0
WA,Washington,3,2,1750848,11,1229216,0,1755396,12,1290670,0,1742718,12,1221747,0,2369612,12,1584651,0
WV,West Virginia,5,7,303857,0,397466,5,238269,0,417655,5,188794,0,489371,5,235984,0,545382,5
WI,Wisconsin,3,6,1677211,10,1262393,0,1620985,10,1407966,0,1382536,0,1405284,10,1630866,10,1610184,0
WY,Wyoming,4,3,82868,0,164958,3,69286,0,170962,3,55973,0,174419,3,73491,0,193559,3
